id,y_2011,y_2012,y_2013,y_2014
204,395910.46,395408.24,393218.7,399547.43
205,172122.57,172341.14,171923.14,173262.28
206,630163.47,633044.3,637091.45,640274.87
207,125025.43,123976.3,127240.89,130392.51
208,80484.58,80209.24,78926.71,78616.78
209,81296.68,80685.84,80310.84,79938.25
210,227786.66,226896.94,227055.55,227326.66
211,230507.52,228091.39,227779.56,228865.59
212,311067.92,311528.3,312883.01,315132.07
213,96760.43,97539.56,99328.57,103372.52
214,192407,192439.25,192519.15,201998.59
215,332469.23,333515.68,337047.63,346104.43
216,129145.57,129791.53,132945.96,147185.57
217,168318,169390.28,172087.14,174415.42
218,93655.62,94107.15,93850.1,91840.89
219,96613.44,94969.35,93852.68,85516.12
220,104493.06,104108.58,104260.39,104132.34
221,73420,73621.05,71508.84,67470.52
222,88342.82,88107.17,82339.75,80146.92
223,121701.16,121783.64,121817.52,121304.9
224,74335.65,74043.12,72275.21,71918.67
225,71317.4,70913.53,70741.58,70188.97
226,75885,75535.52,75076.31,74441.31
227,51539.42,51227.82,42861.44,42928.11
228,278321.13,278811.98,279416.08,279626.81
229,339156.27,340572.87,341471.65,342544.93
230,232528.16,233307.87,234079.47,236141.05
231,214089.05,214484.15,216295.47,217751.69
232,200587.69,201281.84,202143.69,202751.38
233,236017.1,236739.75,237486.26,239888.43
234,156575.3,157126.89,157021.76,155715.15
235,278906.14,280993.04,281798.39,283297.32
236,167382,167635.98,168099.74,169053.98
237,124926.28,125276.28,125744.28,125925.71
238,194035.81,193871.34,193611.46,193897.7
239,183769.71,184258,184585.71,185515.71
240,238457.79,239494.67,240709.5,241835.74
241,202495.73,202870.81,203648.52,204948.52
242,155292.38,155553.01,155685.39,156609.2
243,166541.48,166922.8,167950.54,168646.7
244,125622.94,127333.46,128170.36,129377.24
245,228365.3,228879.5,229577.86,230242.34
246,184000.27,184170.65,184999.45,185692.66
247,209983.43,209850.3,210077.91,211570.24
248,266377.65,267325.26,269412.5,270440.15
249,149981.21,150242.59,150132.01,151043.38
250,133418.91,133595.67,133936.21,133869.18
251,125697.72,125982.46,126081.32,126434.16
252,154262.6,153837.39,144569.68,145067.98
253,102233.17,101697.56,90169.26,89882.92
254,58040,56371.25,53308.75,53050
255,93648.22,87783,86964.82,86817.78
256,173736.53,173736.53,172390.38,167592.3
257,129298.15,132041.32,130009.21,132312.59
258,110789.2,111097.41,114374.17,115890.61
259,122195.45,123335.88,123708.61,124463.87
